id,x_tol_m,x_dot_tol_mps,theta_tol_rad,theta_dot_tol_rps,q_theta_over_x,q_theta_dot_over_x_dot,r_scale,q,r,survival_s,max_cart_m,max_theta_deg,avg_abs_u,score,success
92,0.5,1.0,0.3,0.7,2.7777777777777777,2.0408163265306127,0.7,"[4.0, 1.0, 11.11111111111111, 2.0408163265306127]",0.06999999999999999,400.0,1.7119256258010864,38.223548889160156,24.283618927001953,397.65106201171875,True
93,0.5,1.0,0.3,0.7,2.7777777777777777,2.0408163265306127,0.9,"[4.0, 1.0, 11.11111111111111, 2.0408163265306127]",0.09000000000000001,400.0,1.861086368560791,40.91766357421875,24.561559677124023,397.5142517089844,True
94,0.5,1.0,0.3,0.7,2.7777777777777777,2.0408163265306127,1.1,"[4.0, 1.0, 11.11111111111111, 2.0408163265306127]",0.11000000000000001,400.0,1.9842959642410278,42.88532257080078,24.787948608398438,397.406494140625,True
95,0.5,1.0,0.3,0.7,2.7777777777777777,2.0408163265306127,1.3,"[4.0, 1.0, 11.11111111111111, 2.0408163265306127]",0.13,400.0,2.096064805984497,44.568084716796875,24.97317886352539,397.3114013671875,True
96,0.5,1.0,0.3,0.7,2.7777777777777777,2.0408163265306127,1.5,"[4.0, 1.0, 11.11111111111111, 2.0408163265306127]",0.15000000000000002,79.23999786376953,2.189732074737549,46.13591384887695,25.125579833984375,76.46864318847656,False
97,0.5,1.0,0.3,0.7,2.7777777777777777,2.0408163265306127,1.8,"[4.0, 1.0, 11.11111111111111, 2.0408163265306127]",0.18000000000000002,45.18000030517578,2.307025671005249,48.03932189941406,25.306800842285156,42.30649948120117,False
98,0.5,1.0,0.3,1.0,2.7777777777777777,1.0,0.5,"[4.0, 1.0, 11.11111111111111, 1.0]",0.05,400.0,1.5809695720672607,35.749080657958984,24.653366088867188,397.7549133300781,True
99,0.5,1.0,0.3,1.0,2.7777777777777777,1.0,0.7,"[4.0, 1.0, 11.11111111111111, 1.0]",0.06999999999999999,400.0,1.7654263973236084,39.423282623291016,24.480344772338867,397.59442138671875,True
100,0.5,1.0,0.3,1.0,2.7777777777777777,1.0,0.9,"[4.0, 1.0, 11.11111111111111, 1.0]",0.09000000000000001,400.0,1.9062919616699219,42.106353759765625,24.709074020385742,397.46343994140625,True
101,0.5,1.0,0.3,1.0,2.7777777777777777,1.0,1.1,"[4.0, 1.0, 11.11111111111111, 1.0]",0.11000000000000001,400.0,2.025664806365967,44.0457763671875,24.934181213378906,397.3582458496094,True
102,0.5,1.0,0.3,1.0,2.7777777777777777,1.0,1.3,"[4.0, 1.0, 11.11111111111111, 1.0]",0.13,115.12000274658203,2.1297123432159424,45.58320617675781,25.11765480041504,112.38994598388672,False
103,0.5,1.0,0.3,1.0,2.7777777777777777,1.0,1.5,"[4.0, 1.0, 11.11111111111111, 1.0]",0.15000000000000002,67.70999908447266,2.224060535430908,46.93672561645508,25.26793670654297,64.90119171142578,False
104,0.5,1.0,0.3,1.0,2.7777777777777777,1.0,1.8,"[4.0, 1.0, 11.11111111111111, 1.0]",0.18000000000000002,9.300000190734863,2.340913772583008,48.780250549316406,25.444978713989258,6.390588760375977,False
105,0.5,1.0,0.3,1.4,2.7777777777777777,0.5102040816326532,0.5,"[4.0, 1.0, 11.11111111111111, 0.5102040816326532]",0.05,400.0,1.6065484285354614,36.427886962890625,24.816219329833984,397.72369384765625,True
106,0.5,1.0,0.3,1.4,2.7777777777777777,0.5102040816326532,0.7,"[4.0, 1.0, 11.11111111111111, 0.5102040816326532]",0.06999999999999999,400.0,1.7919087409973145,40.02059555053711,24.61246681213379,397.56524658203125,True
107,0.5,1.0,0.3,1.4,2.7777777777777777,0.5102040816326532,0.9,"[4.0, 1.0, 11.11111111111111, 0.5102040816326532]",0.09000000000000001,400.0,1.928479790687561,42.69577407836914,24.78238868713379,397.4383850097656,True
108,0.5,1.0,0.3,1.4,2.7777777777777777,0.5102040816326532,1.1,"[4.0, 1.0, 11.11111111111111, 0.5102040816326532]",0.11000000000000001,400.0,2.048276424407959,44.61929702758789,25.006755828857422,397.333251953125,True
109,0.5,1.0,0.3,1.4,2.7777777777777777,0.5102040816326532,1.3,"[4.0, 1.0, 11.11111111111111, 0.5102040816326532]",0.13,79.22000122070312,2.145911693572998,46.13556671142578,25.189062118530273,76.46866607666016,False
110,0.5,1.0,0.3,1.4,2.7777777777777777,0.5102040816326532,1.5,"[4.0, 1.0, 11.11111111111111, 0.5102040816326532]",0.15000000000000002,45.18000030517578,2.24062442779541,47.32393264770508,25.338220596313477,42.35306167602539,False
111,0.5,1.0,0.3,1.4,2.7777777777777777,0.5102040816326532,1.8,"[4.0, 1.0, 11.11111111111111, 0.5102040816326532]",0.18000000000000002,9.289999961853027,2.357273817062378,49.15604019165039,25.51287841796875,6.362855911254883,False
